coid,year_q,K_avg
6277,2025Q1,41.946747237359666
6277,2025Q2,31.2915861212114
6277,2025Q3,49.8564574707195
6277,2025Q4,42.72472741886758
6278,2020Q1,36.228923547524985
6278,2020Q2,66.51550486535727
6278,2020Q3,43.98134271393999
6278,2020Q4,51.96841552248637
6278,2021Q1,41.00900111396737
6278,2021Q2,50.12113367242251
6278,2021Q3,39.77092239763036
6278,2021Q4,49.93379757994373
6278,2022Q1,46.54836373436212
6278,2022Q2,41.21361171974163
6278,2022Q3,45.03945812321801
6278,2022Q4,55.737763546690346
6278,2023Q1,57.719661826661074
6278,2023Q2,48.986940790399395
6278,2023Q3,48.77645926214127
6278,2023Q4,46.97139089064657
6278,2024Q1,59.3521377195277
6278,2024Q2,55.213546541713306
6278,2024Q3,44.45423962159919
6278,2024Q4,52.34981811976805
6278,2025Q1,50.71970706145091
6278,2025Q2,58.48459138379846
6278,2025Q3,48.948332918187525
6278,2025Q4,33.979138303874706
6281,2020Q1,59.622125880049985
6281,2020Q2,79.90949607900451
6281,2020Q3,55.95111752301307
6281,2020Q4,64.80650167587669
6281,2021Q1,69.08386873865784
6281,2021Q2,63.876460124188945
6281,2021Q3,62.332036982738074
6281,2021Q4,43.2526737921819
6281,2022Q1,51.13986284488443
6281,2022Q2,57.20535074623402
6281,2022Q3,44.976056647587654
6281,2022Q4,43.58461352682136
6281,2023Q1,70.78084038035354
6281,2023Q2,63.0850983683253
6281,2023Q3,40.68738386530928
6281,2023Q4,42.11987808174188
6281,2024Q1,59.559226379730895
6281,2024Q2,50.23191492705424
6281,2024Q3,46.55685152764553
6281,2024Q4,31.26339489126198
6281,2025Q1,49.45585804888626
6281,2025Q2,42.30647320074439
6281,2025Q3,33.22910604333646
6281,2025Q4,33.33148183623385
6282,2020Q1,43.077103071111026
6282,2020Q2,64.82525540745942
6282,2020Q3,57.866766516952985
6282,2020Q4,47.37606043949078
6282,2021Q1,43.17750718461728
6282,2021Q2,54.009976899823634
6282,2021Q3,45.85488422758968
6282,2021Q4,45.56008108620938
6282,2022Q1,43.414248723759144
6282,2022Q2,40.5169050858494
6282,2022Q3,47.27763771100841
6282,2022Q4,45.71933317372059
6282,2023Q1,50.738039436367565
6282,2023Q2,46.69984400361691
6282,2023Q3,34.526734577512336
6282,2023Q4,39.90852825441232
6282,2024Q1,38.864396398906216
6282,2024Q2,43.53522242031694
6282,2024Q3,46.472570411205524
6282,2024Q4,41.46153748660981
6282,2025Q1,54.44855768937567
6282,2025Q2,46.78812262025793
6282,2025Q3,55.44970772804246
6282,2025Q4,48.649920008581994
6283,2020Q1,27.97587255261458
6283,2020Q2,67.55593510423444
6283,2020Q3,42.832806975941345
6283,2020Q4,48.686729537048464
6283,2021Q1,52.270473453743854
6283,2021Q2,43.75019970348806
6283,2021Q3,39.218769772104466
6283,2021Q4,38.49137967672494
6283,2022Q1,37.95587154950614
6283,2022Q2,41.852440253486286
6283,2022Q3,46.10700856483915
6283,2022Q4,42.72570051216553
6283,2023Q1,52.102410578748405
6283,2023Q2,31.961020563395195
6283,2023Q3,38.26255983576144
6283,2023Q4,39.693957895233325
6283,2024Q1,29.19126193844701
6283,2024Q2,35.75158303301611
6283,2024Q3,44.4514873775018
6283,2024Q4,42.10621755191296
6283,2025Q1,51.333206755024946
6283,2025Q2,32.4550535476637
6283,2025Q3,47.152309182412296
6283,2025Q4,42.612147406672136
6285,2020Q1,38.73579137096412
6285,2020Q2,61.70560059437634
6285,2020Q3,59.04664492315724
6285,2020Q4,46.242248349724996
6285,2021Q1,35.576036817704974
6285,2021Q2,51.489386266230596
6285,2021Q3,51.97574742654427
6285,2021Q4,48.898103356814055
6285,2022Q1,43.15987669005629
6285,2022Q2,54.010493498374956
6285,2022Q3,62.35875893386598
6285,2022Q4,41.39402707351955
6285,2023Q1,65.1709735090714
6285,2023Q2,54.67733396846967
6285,2023Q3,63.3248637013816
6285,2023Q4,45.30976345212378
6285,2024Q1,40.244851190756
6285,2024Q2,52.394718831727346
6285,2024Q3,38.23637368144006
6285,2024Q4,46.02380406748164
6285,2025Q1,49.12470604638106
6285,2025Q2,46.17765347322831
6285,2025Q3,46.59126404227965
6285,2025Q4,40.74174802670262
6405,2020Q1,37.85967465940216
6405,2020Q2,66.13723987562447
6405,2020Q3,57.358738956824915
6405,2020Q4,43.50901812544627
6405,2021Q1,43.54261676933796
6405,2021Q2,66.6213570671349
6405,2021Q3,32.50814074440042
6405,2021Q4,53.4428085436869
6405,2022Q1,44.613663114227975
6405,2022Q2,32.74720494780664
6405,2022Q3,51.74692034622259
6405,2022Q4,50.126626575841705
6405,2023Q1,45.191744813856126
6405,2023Q2,51.63229349684981
6405,2023Q3,48.968634894293004
6405,2023Q4,46.458757682054035
6405,2024Q1,34.56639853555152
6405,2024Q2,39.34363365353091
6405,2024Q3,51.666534426933175
6405,2024Q4,31.617571744787224
6405,2025Q1,38.57243859460312
6405,2025Q2,43.531598081737705
6405,2025Q3,43.395118519001194
6405,2025Q4,39.613112540924654
6409,2020Q1,42.98148912677074
6409,2020Q2,58.338506473006824
6409,2020Q3,49.53541116449838
6409,2020Q4,56.5568931400871
6409,2021Q1,45.548105754254784
6409,2021Q2,66.6636634742878
6409,2021Q3,55.48993326638048
6409,2021Q4,43.06348448826431
6409,2022Q1,45.146995081737245
6409,2022Q2,48.50884185711095
6409,2022Q3,45.40596816141576
6409,2022Q4,49.62565659144849
6409,2023Q1,50.61225843022757
6409,2023Q2,59.83712176130077
6409,2023Q3,39.86087659860112
6409,2023Q4,52.00977819653244
6409,2024Q1,48.85712229299109
6409,2024Q2,55.319256954145864
6409,2024Q3,57.58727285454662
6409,2024Q4,48.45561972895034
6409,2025Q1,42.47706777914913
6409,2025Q2,42.85339968772611
6409,2025Q3,32.81491244783842
6409,2025Q4,43.29691386071642
6412,2020Q1,38.892651686085046
6412,2020Q2,66.89367982065598
6412,2020Q3,55.5112490019114
6412,2020Q4,47.406567666198654
6412,2021Q1,56.14036096255844
6412,2021Q2,40.676917404180166
6412,2021Q3,38.11694288363355
6412,2021Q4,56.651957355637535
6412,2022Q1,54.12501631686435
6412,2022Q2,47.00084371642468
6412,2022Q3,42.29530824321463
6412,2022Q4,58.37900464664459
6412,2023Q1,72.38943852173121
6412,2023Q2,61.5010433751463
6412,2023Q3,45.03653152679688
6412,2023Q4,53.81287819769851
6412,2024Q1,58.9173190380512
6412,2024Q2,31.719132495567116
6412,2024Q3,46.89869186075913
6412,2024Q4,35.27757225799474
6412,2025Q1,45.13756706505863
6412,2025Q2,53.633776568714694
6412,2025Q3,33.366796931391754
6412,2025Q4,41.06526110428614
6414,2020Q1,39.102498029136584
6414,2020Q2,73.63434860001148
6414,2020Q3,43.656471624959934
6414,2020Q4,47.80661903913185
6414,2021Q1,38.16115414592383
6414,2021Q2,44.561163357144835
6414,2021Q3,42.468590522031135
6414,2021Q4,47.907253156360355
6414,2022Q1,37.67912477772255
6414,2022Q2,49.83677723601984
6414,2022Q3,45.4084764505898
6414,2022Q4,48.99962288795864
6414,2023Q1,66.57667622193448
6414,2023Q2,51.469381271819216
6414,2023Q3,42.34210830617325
6414,2023Q4,44.34124937135663
6414,2024Q1,60.46782531938157
6414,2024Q2,40.97141549964447
6414,2024Q3,46.67260288483693
6414,2024Q4,47.975913831737856
6414,2025Q1,45.44067648762374
6414,2025Q2,62.56042634610494
6414,2025Q3,51.06819718483067
6414,2025Q4,45.15624727451725
