coid,year,ROA,EPS,ROE,OM,GM,FCF,total_assets,LEV
1608,2025,16.18,5.5,24.45,8.15,10.37,-7.025302505070212,16533902,35.15
1609,2025,4.02,1.65,8.53,8.78,13.98,-11.128454235665691,63043142,68.66
1611,2025,0.39,0.03,0.21,6.84,31.87,22.254170917904396,5159010,18.52
1612,2025,9.55,2.77,10.87,11.65,14.89,-15.190445264685353,9684742,12.41
1614,2025,3.64,0.97,4.42,4.58,20.3,-1.4080754458989364,6957662,17.43
1615,2025,16.81,4.81,23.64,18.65,22.69,0.016718356882032753,6228468,29.14
1616,2025,7.83,1.55,13.27,10.75,15.04,-8.806074328219305,4276320,48.14
1617,2025,3.48,0.68,4.75,-0.03,7.23,-8.45701536500121,3369903,30.54
1618,2025,10.22,4.21,12.81,15.62,18.92,9.28766762549123,8440211,21.87
1623,2025,13.02,13.61,29.87,15.15,18.66,12.85005826890237,7118829,58.68
1626,2025,-1.17,-0.86,-4.51,-1.35,19.6,-0.9971043773373418,8159488,66.12
1702,2025,1.79,1.12,2.85,2.51,24.77,-20.016961833503753,33438691,53.57
1707,2025,12.01,8.22,15.6,20.89,75.08,16.506650981510212,15738289,23.33
1708,2025,7.05,3.28,11.19,18.21,31.87,11.937277558263801,12505075,40.96
1709,2025,4.95,1.23,6.32,7.01,14.89,-3.3097400643169004,12121837,23.99
1710,2025,-2.84,-1.01,-9.15,-4.06,0.86,-2.899444749527122,32353282,64.58
1711,2025,-0.6,-0.21,-1.58,-2.59,18.97,12.939523410090677,12793865,34.07
1712,2025,7.52,2.6,12.81,6.96,30.49,2.6527509557110833,15370664,43.86
1713,2025,13.67,3.87,14.32,-17.23,4.53,152.5010813703712,3974347,4.17
1714,2025,5.2,0.5,7.02,5.23,10.43,-5.523689098856889,24999031,30.99
1717,2025,3.39,1.41,5.99,4.16,20.57,8.027127931863664,60154782,53.08
1718,2025,0.72,0.09,7.83,17.06,41.22,-19.201610774954585,1038288332,91.14
1720,2025,10.99,5.19,13.75,19.4,41.42,6.892903331322565,11795903,21.27
1721,2025,-9.94,-1.84,-18.94,-18.83,-7.3,-2.596125773859579,3081376,46.54
1722,2025,1.15,0.95,1.7,3.0,13.1,-51.23489688515577,81524634,33.43
1723,2025,5.57,2.65,7.68,9.14,18.9,-1.2999436962348985,11442959,31.68
1725,2025,3.58,1.53,4.56,1.82,4.59,-25.640028650363245,8799711,24.57
1726,2025,7.45,5.5,8.62,11.12,26.67,-5.997194854680548,12107683,13.86
1727,2025,0.17,0.04,0.25,0.05,10.97,11.272578522538753,3512963,40.39
1730,2025,11.74,4.5,14.81,15.35,50.97,-1.280267232633883,2775389,21.08
1731,2025,5.85,1.36,8.48,13.72,63.23,0.30350147652624604,3237440,33.19
1732,2025,4.44,0.69,5.89,6.6,41.24,4.684462566971694,671414,25.13
1733,2025,6.86,1.63,8.83,7.24,27.7,0.5391873237447437,2415805,22.57
1734,2025,6.13,1.92,9.76,12.36,43.21,-4.097961076017331,6153050,39.62
1735,2025,3.07,0.78,4.97,2.27,18.13,-45.25503802501923,2955375,47.47
1736,2025,6.52,9.06,21.33,6.61,50.56,3.209660066370162,50134342,72.6
1737,2025,4.76,2.0,5.84,14.4,40.6,-0.8778225786696585,8262561,17.53
1742,2025,-5.91,-1.08,-7.5,-77.95,24.08,-10.464692482915718,1434821,10.0
1752,2025,6.57,2.42,9.93,13.67,35.56,0.750585851398696,3823371,34.88
1760,2025,6.27,2.22,9.81,14.92,54.13,-0.8977567981777533,3226687,39.42
1762,2025,-5.08,-4.39,-7.57,-39.7,-1.1,6.6383346411913555,4317353,28.49
1773,2025,12.73,6.81,19.31,20.69,34.62,14.201638052824366,17049003,33.2
1776,2025,1.19,0.28,1.36,3.36,17.25,11.263450848948578,1466260,36.87
