coid,year,ppo_year_avg
1217 愛之味,2025,-0.25860629626486925
1218 泰山,2020,0.3415007823945544
1218 泰山,2021,0.16206628767797124
1218 泰山,2022,0.5027038463668324
1218 泰山,2023,-0.874373513200678
1218 泰山,2024,-0.1738042665772649
1218 泰山,2025,-0.12003749603596088
1219 福壽,2020,0.2814244864614162
1219 福壽,2021,-0.011776668012827831
1219 福壽,2022,-0.023677820995668043
1219 福壽,2023,0.14107386024262877
1219 福壽,2024,-0.2747263380124545
1219 福壽,2025,-0.36534812936623384
1220 台榮,2020,0.41379863076602935
1220 台榮,2021,0.4956023587666128
1220 台榮,2022,0.0435605387400901
1220 台榮,2023,-0.09572243708375798
1220 台榮,2024,0.46777490106059955
1220 台榮,2025,-0.8949077889120665
1225 福懋油,2020,0.00010733552457094654
1225 福懋油,2021,0.7437480174426102
1225 福懋油,2022,0.21753585766608258
1225 福懋油,2023,0.06083672960214026
1225 福懋油,2024,-0.1859367640449679
1225 福懋油,2025,-1.7241326113205333
1227 佳格,2020,-0.15446827611294725
1227 佳格,2021,-0.1795821055136858
1227 佳格,2022,-0.457576747853331
1227 佳格,2023,0.026040544482522188
1227 佳格,2024,-0.03109959907536808
1227 佳格,2025,-0.43528448247990886
1229 聯華,2020,0.5981609584864457
1229 聯華,2021,0.8780494343134578
1229 聯華,2022,-0.19907413848965727
1229 聯華,2023,0.7169899166182754
1229 聯華,2024,-0.2244952447532464
1229 聯華,2025,-0.16157200904742713
1231 聯華食,2020,0.3268180534634612
1231 聯華食,2021,0.9724137784636147
1231 聯華食,2022,0.3408687766409965
1231 聯華食,2023,0.5519048038787145
1231 聯華食,2024,0.9280759577312292
1231 聯華食,2025,-0.5120620218892233
1232 大統益,2020,0.17462072593224567
1232 大統益,2021,0.4261962940926221
1232 大統益,2022,-0.12313562900293228
1232 大統益,2023,0.08227932654451149
1232 大統益,2024,0.12338789332041025
1232 大統益,2025,0.10641217401772951
1233 天仁,2020,-0.07209611898044668
1233 天仁,2021,-0.04032467982391844
1233 天仁,2022,-0.0706295853911421
1233 天仁,2023,0.1892556653275856
1233 天仁,2024,-0.212798349123996
1233 天仁,2025,0.1981630860965739
1234 黑松,2020,0.1284058223304632
1234 黑松,2021,0.21887966116196406
1234 黑松,2022,-0.041465445384454284
1234 黑松,2023,0.455490279604526
1234 黑松,2024,0.15054127700056452
1234 黑松,2025,-0.1274025573191974
1235 興泰,2020,0.276787339580271
1235 興泰,2021,1.0998323606667288
1235 興泰,2022,1.316426144506298
1235 興泰,2023,0.592121013892504
1235 興泰,2024,0.2897851411871903
1235 興泰,2025,-1.6213254113416453
1236 宏亞,2020,0.14823992463078473
1236 宏亞,2021,1.233994082266968
1236 宏亞,2022,-0.47345159528898473
1236 宏亞,2023,0.03412084244284836
1236 宏亞,2024,-0.03055976483337295
1236 宏亞,2025,0.3268408401473371
1240 茂生農經,2020,0.27959614005840766
1256 鮮活果汁-KY,2020,0.6173714947635502
1256 鮮活果汁-KY,2021,0.1506403080838295
1256 鮮活果汁-KY,2022,-0.3014650559762873
1256 鮮活果汁-KY,2023,-0.1409312516056903
1256 鮮活果汁-KY,2024,-1.120454445187966
1256 鮮活果汁-KY,2025,0.14765095057693833
1259 安心,2020,-0.12085790698102232
1264 德麥,2020,0.4289516122427231
1268 漢來美食,2020,-0.049104038760199385
1301 台塑,2020,-0.05645555520866587
1301 台塑,2021,0.2672135478870148
1301 台塑,2022,-0.19114613237604827
1301 台塑,2023,-0.0845402836450205
1301 台塑,2024,-1.406879493751418
1301 台塑,2025,0.18695860778947293
1303 南亞,2020,-0.04674826214861044
1303 南亞,2021,0.4314380916005003
1303 南亞,2022,-0.13709112404309579
1303 南亞,2023,-0.07870463428769849
1303 南亞,2024,-1.3482983439956748
1303 南亞,2025,1.5080825171166432
