coid,year,K_avg
1521,2020,45.348570779748854
1521,2021,36.83218905081788
1521,2022,39.81507667564462
1521,2023,47.39007344148616
1521,2024,38.00906819475041
1521,2025,45.93798758799388
1522,2020,45.357996336619415
1522,2021,42.93539708719339
1522,2022,47.435800887306286
1522,2023,46.166501176763376
1522,2024,49.54022479049715
1522,2025,42.708875161168336
1524,2020,47.97060033578218
1524,2021,49.199856456224545
1524,2022,50.381306059296634
1524,2023,44.14728849221721
1524,2024,47.054537573480026
1524,2025,40.186273537414465
1525,2020,42.799678058998
1525,2021,42.42395806604119
1525,2022,44.77673321363224
1525,2023,43.923988191563716
1525,2024,41.949874353560865
1525,2025,42.869920897039606
1526,2020,43.316406293155346
1526,2021,45.97590385366536
1526,2022,46.06280487166702
1526,2023,48.22125477183956
1526,2024,34.573396459216745
1526,2025,38.938786462056385
1527,2020,47.33789612503927
1527,2021,48.94889825181943
1527,2022,52.093482680790764
1527,2023,53.368717899413205
1527,2024,47.46618000124318
1527,2025,47.73627603211386
1528,2020,43.87861362834891
1528,2021,46.85403451322209
1528,2022,43.27416226082064
1528,2023,44.553470079957606
1528,2024,37.72653545966293
1528,2025,39.541765241526065
1529,2020,42.775176342675564
1529,2021,49.0612198048138
1529,2022,43.79637970498998
1529,2023,43.51437222998124
1529,2024,37.5532078379683
1529,2025,40.01317308744446
1530,2020,52.12295027289434
1530,2021,54.574350893587294
1530,2022,45.6834291414005
1530,2023,50.704905370962585
1530,2024,41.647309192915806
1530,2025,45.94593829573052
1531,2020,50.17990586528296
1531,2021,51.7307792779399
1531,2022,47.3807207660179
1531,2023,52.108424774092235
1531,2024,45.089910948263416
1531,2025,52.26439156621244
1532,2020,49.0608163404613
1532,2021,49.69714676964239
1532,2022,46.54007158610594
1532,2023,56.91582665566086
1532,2024,42.083606196925984
1532,2025,46.12562912642235
1533,2020,46.77694889848307
1533,2021,42.74885193989463
1533,2022,41.970635588022105
1533,2023,38.05749629902383
1533,2024,32.77042679121548
1533,2025,39.486170271570444
1535,2020,48.74945356592537
1535,2021,47.50009298886887
1535,2022,54.04467707374582
1535,2023,52.591501630355374
1535,2024,51.047293651311726
1535,2025,46.57589119990227
1536,2020,45.57389186169603
1536,2021,45.103247238735946
1536,2022,43.69627747424287
1536,2023,44.00851259705617
1536,2024,42.572065524594784
1536,2025,39.89166009572009
1537,2020,55.32270851533952
1537,2021,46.284518067326516
1537,2022,51.083674444461586
1537,2023,52.71088597392457
1537,2024,52.32827653254376
1537,2025,51.079805495751756
1538,2020,46.04833076732832
1538,2021,50.48990118008213
1538,2022,41.24618943116798
1538,2023,50.99044746798763
1538,2024,45.772198627106164
1538,2025,42.39031467598231
1539,2020,48.10061481843529
1539,2021,47.06177702870384
1539,2022,43.6283878851507
1539,2023,43.08374518241632
1539,2024,40.730466878312164
1539,2025,42.6940141134964
1540,2020,51.87158393544911
1540,2021,53.89137514931593
