coid,year_q,RSI
1710 東聯,2025Q3,50.452915546764785
1710 東聯,2025Q4,57.562070048140825
1711 永光,2020Q1,41.63332014337726
1711 永光,2020Q2,53.88937443024404
1711 永光,2020Q3,38.10441512055812
1711 永光,2020Q4,63.26416434292452
1711 永光,2021Q1,55.93262307813149
1711 永光,2021Q2,59.28391209486339
1711 永光,2021Q3,58.19004843334774
1711 永光,2021Q4,60.88338931518086
1711 永光,2022Q1,51.8576764246457
1711 永光,2022Q2,29.231851112722417
1711 永光,2022Q3,31.517992459571726
1711 永光,2022Q4,42.90722637191585
1711 永光,2023Q1,52.32921875421578
1711 永光,2023Q2,64.72876039454225
1711 永光,2023Q3,44.49520520245211
1711 永光,2023Q4,40.67882324672491
1711 永光,2024Q1,48.645912091437324
1711 永光,2024Q2,49.820418224685106
1711 永光,2024Q3,53.17427564034543
1711 永光,2024Q4,26.309594760766362
1711 永光,2025Q1,20.881424124446482
1711 永光,2025Q2,45.950642682587535
1711 永光,2025Q3,52.775684172322336
1711 永光,2025Q4,56.38211062997095
1712 興農,2020Q1,58.045076489966426
1712 興農,2020Q2,43.52785848913005
1712 興農,2020Q3,35.3405042265598
1712 興農,2020Q4,81.12058580351683
1712 興農,2021Q1,75.01934113237802
1712 興農,2021Q2,60.69648389347354
1712 興農,2021Q3,91.31175822290275
1712 興農,2021Q4,74.15028703006732
1712 興農,2022Q1,52.16524520663861
1712 興農,2022Q2,37.78797818300794
1712 興農,2022Q3,29.708881167786373
1712 興農,2022Q4,42.42602148659402
1712 興農,2023Q1,55.28388358262004
1712 興農,2023Q2,49.901747877344754
1712 興農,2023Q3,45.278589367299375
1712 興農,2023Q4,55.41661117640633
1712 興農,2024Q1,52.471868374124355
1712 興農,2024Q2,66.5626230021967
1712 興農,2024Q3,51.69378961198075
1712 興農,2024Q4,35.093684668552335
1712 興農,2025Q1,36.514732412493
1712 興農,2025Q2,49.33171453938029
1712 興農,2025Q3,74.52640721133783
1712 興農,2025Q4,52.87354164927077
1713 國化,2020Q1,46.78171307366747
1713 國化,2020Q2,59.209469333767
1713 國化,2020Q3,50.267252866718145
1713 國化,2020Q4,95.82948423429222
1713 國化,2021Q1,62.902113124402284
1713 國化,2021Q2,56.72033068612878
1713 國化,2021Q3,63.42681859706249
1713 國化,2021Q4,73.8176388391803
