coid,year,RSI
1512,2020,75.72478128589123
1512,2021,78.68374386459514
1512,2022,55.873778160179256
1512,2023,40.4358872682443
1512,2024,67.92264499338656
1512,2025,44.807015653316725
1513,2020,40.80307451253875
1513,2021,70.14861600152949
1513,2022,64.0268098834856
1513,2023,42.05614907924837
1513,2024,53.96516965637878
1513,2025,49.66123704615916
1514,2020,44.73579355333986
1514,2021,74.79356069055244
1514,2022,45.04273314338862
1514,2023,33.77221367632171
1514,2024,45.04527942316254
1514,2025,49.19380724339379
1515,2020,39.095639694213766
1515,2021,33.74976037309567
1515,2022,25.371290035015804
1515,2023,40.373527253975034
1515,2024,39.9549283535488
1515,2025,42.30040027120447
1516,2020,88.31090884008732
1516,2021,32.88807586656584
1516,2022,35.64226193053874
1516,2023,53.78886452307998
1516,2024,40.63850201252898
1516,2025,69.08616508007867
1517,2020,59.281878442029814
1517,2021,47.57257016506527
1517,2022,29.74785336419278
1517,2023,45.12881325053477
1517,2024,30.650949999241373
1517,2025,40.73807244472616
1519,2020,43.40768376211109
1519,2021,69.84443267707474
1519,2022,50.4503094910645
1519,2023,48.88625451125646
1519,2024,63.771464091700544
1519,2025,53.113998120862995
1521,2020,59.76604590007402
1521,2021,37.26539131054759
1521,2022,36.005635132878695
1521,2023,58.566252273141494
1521,2024,25.56811381784916
1521,2025,38.38446672607169
1522,2020,74.12920106156265
1522,2021,66.14433913602966
1522,2022,55.552997154049486
1522,2023,43.740344939731465
1522,2024,51.74453995467053
1522,2025,42.497085166271624
1524,2020,73.44761071757638
1524,2021,69.52255584306558
1524,2022,60.767508206570895
1524,2023,50.64987242562267
1524,2024,41.81358078139926
1524,2025,39.394258893030994
1525,2020,66.02149084078181
1525,2021,69.46579969166939
1525,2022,41.635511872955554
1525,2023,37.1619870464054
1525,2024,26.625944453476574
1525,2025,50.873556705788594
1526,2020,36.47717176157453
1526,2021,58.32273690814655
1526,2022,21.988475776294884
1526,2023,48.68505625095511
1526,2024,59.24845181181075
1526,2025,44.35825975173919
1527,2020,47.774761993992385
1527,2021,79.4475213944116
1527,2022,39.4164936941977
1527,2023,53.09441056331913
1527,2024,28.599472796345243
1527,2025,44.77572481426588
1528,2020,69.24962470389208
1528,2021,58.64949772736697
1528,2022,51.02342311664816
1528,2023,36.662136664469905
1528,2024,26.432820721686547
1528,2025,86.07163962469791
1529,2020,54.5452134373477
1529,2021,74.81971013054046
1529,2022,53.654375987279124
1529,2023,49.95742147929865
1529,2024,55.37498964634319
1529,2025,45.06440194004964
1530,2020,92.76678182061495
1530,2021,56.02021980416547
1530,2022,68.61615241055681
1530,2023,47.20109099700718
1530,2024,77.72198722592901
1530,2025,53.18005534483338
1531,2020,52.613603927718025
1531,2021,62.34660276615954
1531,2022,54.96827199977987
1531,2023,42.7885710768041
1531,2024,41.450860474211964
1531,2025,66.75570312064306
1532,2020,50.94350656975575
1532,2021,71.16302074453995
1532,2022,49.44853525757175
1532,2023,77.69520592418718
1532,2024,27.082700435237868
1532,2025,38.202077702241674
