coid,year_q,RET,ROA,EPS,ROE,OM,FCF,BIAS,PPO,K,RSI,SIZE,LEV
1539,2023Q3,-1.2553,2.64,0.94,3.76,4.32,4.604962722811621,27.61782004610036,-0.4554977192583321,33.27152513398153,47.58475909282654,14.6980231788195,34.64
1539,2023Q4,1.4584,2.72,0.96,3.86,5.22,-12.409135707642548,31.68208183100801,-0.0857268048708531,46.60292697932248,52.52038416658519,14.73940272558228,37.19
1539,2024Q1,2.5051,1.75,0.64,2.61,4.6,1.2673650886218315,32.72717771855569,0.0846967384024739,38.18749924802252,47.12820964709963,14.712101313273482,33.74
1539,2024Q2,1.4765,2.89,1.05,4.29,5.56,27.89760267145136,30.05637711704493,0.255233515723715,47.56300685672866,53.50333193659629,14.701782397771792,33.57
1539,2024Q3,5.1021,3.1,1.08,4.4,4.94,2.092911891464716,71.33766467517842,0.6907249474465718,53.0599027756297,46.65354652468544,14.646827980032777,29.74
1539,2024Q4,-8.3672,4.08,1.41,5.73,4.26,22.830763775715464,24.482532383457315,-0.5992621570545045,32.253586128971904,39.67303981229633,14.627838019800366,27.34
1539,2025Q1,-17.0039,0.77,0.25,1.0,3.62,1.596417030316789,13.683208212131245,-2.175506062358703,42.88090484691547,24.94069529233015,14.663019110440056,29.15
1539,2025Q2,3.4483,-1.12,-0.42,-1.74,3.09,19.35787654873658,8.109363478543617,0.7078436249898259,40.90733660754359,54.06306136163882,14.651839045594292,32.67
1539,2025Q3,-2.2159,-0.08,-0.08,-0.33,2.81,0.7843402830150926,2.477457862314425,-0.2723694015560598,44.05006149175036,43.8026069026381,14.595454050722408,27.74
1539,2025Q4,0.5812,0.82,0.21,0.84,2.45,6.7940033926723,0.44532696986061,0.1513989385493477,42.86442149960227,55.37501464530929,14.580097547150489,25.66
1540,2020Q1,-16.4345,1.22,0.24,1.41,3.04,-4.865189936854766,-48.15283489753594,-5.094000530830173,36.63271814233151,38.27783907416948,14.336416405137127,13.17
1540,2020Q2,1.5243,-1.11,-0.21,-1.32,-9.66,316.0979673442186,-42.44085908116279,0.5747218169886794,56.83140237938941,56.72859762155262,14.300633684377893,17.66
1540,2020Q3,-1.7122,-2.04,-0.38,-2.38,-5.21,-34.30362740707568,-47.18619283630356,-0.7744917096679196,45.2479856295994,30.127706723389707,14.252635172909578,14.55
1540,2020Q4,2.3181,-1.27,-0.24,-1.49,-2.4,-0.0008417366710998,-43.09993321382123,0.4317303573590882,59.75209874468919,67.95703680815592,14.264606512073303,14.73
1540,2021Q1,3.2468,1.34,0.24,1.55,13.89,-2.555563050150079,-41.4742170199304,1.0244420422239644,55.11886870739933,64.4882084521184,14.245417190232178,11.72
1540,2021Q2,5.3293,0.4,0.07,0.46,3.54,5.457431683980079,-38.134908081127634,1.0734803188654027,68.50213997219622,60.21535370534081,14.23968030517923,12.17
1540,2021Q3,-1.9608,0.21,0.04,0.24,2.69,84.77279115525157,-43.055994938310654,-0.1154795939682814,47.10208741025295,48.74861330419266,14.2241340065934,13.83
1540,2021Q4,3.0716,-0.23,-0.04,-0.28,0.4,4.179474734401121,-42.66055045871559,0.0685382215503116,49.79563776970456,43.6553153747093,14.234443894271577,15.07
1540,2022Q1,-1.3515,2.18,0.39,2.52,17.31,8.737434466836612,-44.59383458118036,-0.452619766069047,42.805428627447256,41.19054483682324,14.226344561061318,12.19
1540,2022Q2,-2.8662,4.01,0.71,4.66,18.65,17.140515978447098,-42.08935287707828,-0.4157377713039166,50.65809691895002,44.13691815970906,14.235964766127982,12.88
1540,2022Q3,-0.6472,7.2,1.3,8.32,19.3,-7.662325464905141,-40.46363668318745,-0.7006572642112496,51.79632686595724,39.37788445611754,14.26391509724061,12.08
1540,2022Q4,-5.2794,7.02,1.27,8.11,15.89,3.238122054841034,-40.85908116278252,-0.6148469970538628,45.24182869858413,30.755153662420227,14.25975653892041,11.86
1540,2023Q1,-2.3256,0.79,0.14,0.9,9.73,2.3844692973201096,-34.83953741783542,0.1903297757464404,59.75812720758372,41.47516572608174,14.269461657001754,11.93
1540,2023Q2,5.9881,3.59,0.69,4.28,16.93,34.657414833153176,-31.36841365250097,1.5075459441810022,45.33042016653487,58.351234624404825,14.359347657405802,19.77
1540,2023Q3,-9.2105,5.59,1.08,6.59,14.98,-1.7217876027819503,-30.797216070863648,-1.066947982698286,44.698722542362525,34.705605095085794,14.361852928276129,18.07
1540,2023Q4,-0.2866,6.78,1.3,7.91,20.11,4.657753526160537,-30.182080213715768,-0.3430736208400831,39.49897413814273,38.451420866227984,14.357057220934056,16.63
1540,2024Q1,4.7222,3.21,0.66,3.86,11.53,-7.374075184174409,-24.382227846321484,1.692893727705923,59.0668094953219,63.32569087809304,14.402105401818645,17.16
1540,2024Q2,3.9999,7.13,1.48,8.75,23.29,45.26440997175001,-11.33256001968435,1.7193374105303725,56.87178975446978,65.0441026224023,14.425209279524664,20.33
1540,2024Q3,9.9403,7.89,1.62,9.5,23.81,4.099527297283258,90.86786881788464,0.47970778569091,59.25310699975087,48.611853773838845,14.393877440136563,17.16
1540,2024Q4,-6.4231,10.2,2.12,12.25,20.86,-6.841035296685904,54.48697669513866,-0.3176428024435649,27.16622816930486,46.73311118756047,14.419104953071908,16.87
1540,2025Q1,-20.792,2.31,0.5,2.76,23.33,2.406242056859407,33.089036521494606,-1.241969072719812,38.69088573760295,33.52826148867323,14.43011278365876,15.48
1540,2025Q2,-4.9506,0.62,0.13,0.75,26.32,98.2906621815237,19.775739041794097,-1.580306086712497,40.64076292284536,39.26276870987608,14.356879159706128,18.85
1540,2025Q3,-4.5801,2.7,0.54,3.14,19.17,-5.671323600080382,9.845688776406904,-1.194784106743006,36.49539891658119,44.02427389387518,14.289092153647168,10.95
1540,2025Q4,4.5664,5.47,1.11,6.33,20.13,-3.7858057112592136,0.618650919188718,0.6003182931441299,38.3524618709586,51.15791265703565,14.310425068660926,9.82
