coid,year,RET,ROA,EPS,ROE,OM,FCF,BIAS,PPO,K,RSI,SIZE,LEV
1203,2020,39.5794,7.52,1.81,11.08,16.13,-2.9248821421521227,-17.694830954443415,0.632091026517935,58.50906953644078,46.11540690693462,16.048917262264116,32.35
1203,2021,-8.0687,7.49,1.88,11.1,14.86,-1.365340225232056,-24.328148940099844,-0.1740801450882631,47.729066453939375,49.56564228398418,16.075474017225062,34.76
1203,2022,10.8767,9.22,2.63,13.87,13.05,3.1117336827460407,-16.082024228519117,0.1832132429955252,55.981877045158186,52.8426046541972,16.11819224629284,34.25
1203,2023,67.4181,6.72,1.8,9.86,13.36,-0.5762053216613132,40.52228924908239,0.8483841261589601,61.33728419600914,88.32070928346252,16.1292756215342,33.13
1203,2024,-28.2414,8.65,2.36,12.37,17.09,0.0971735708309106,0.852446393686122,-0.4631462769546354,47.06555856792166,34.771632129095494,16.145603321941426,29.85
1203,2025,2.4832,6.85,1.81,9.42,16.54,-9.314774347659045,3.4017215411148576,-0.0174407273841089,49.39650572657202,50.51671502202933,16.16557047425563,29.2
1210,2020,21.8928,8.68,3.99,15.6,5.16,4.867968589063612,-28.99230322047046,0.3186722926127802,53.274490686808704,75.25794675003048,17.76083363021235,46.05
1210,2021,13.5473,4.59,2.32,8.13,2.31,1.6719903106509566,-19.21774165448668,0.3335427143579695,52.84442796554624,72.66730375496448,17.85385127486972,51.1
1210,2022,-8.0065,5.43,2.59,10.06,2.7,-0.1136024004564174,-25.61797052226968,-0.1693947006257022,49.67813315661684,60.09771993024214,17.948138230465887,53.65
1210,2023,32.1358,8.38,4.81,15.82,5.42,2.5281714796673738,-1.649205106245627,0.5256198143237547,52.323516818182426,60.48693749020657,17.98724224337616,50.92
1210,2024,-8.4214,7.25,4.21,13.31,5.19,-0.6581878055625338,-9.938326734434517,-0.1166244412726947,50.30709277033374,40.46195617649928,18.074736166022777,51.21
1210,2025,3.7309,6.49,4.33,12.25,4.7,-5.64969198876196,-6.655687859554406,0.0940596735318852,47.95086376331562,43.25317869320766,18.148246904052357,53.42
1213,2020,23.4825,-1.22,-0.48,-4.96,-12.8,0.617477130476649,-40.94967373124249,0.358804971251222,50.78505646103668,50.59516762475506,14.042870009867649,57.29
1213,2021,8.9266,-7.06,-1.67,-19.31,-15.29,10.520528246825338,-35.688540938680326,0.1155770442062272,53.92875819667077,61.75580235689032,13.931382435186917,60.66
1213,2022,-15.3209,-6.02,-1.34,-18.77,-17.11,4.951260539320677,-45.504087193460485,-0.3077307053023843,48.34824388830369,55.08900020298439,13.872253774510645,65.43
1213,2023,-2.9451,-13.51,-2.45,-46.77,-117.57,304.35454975446333,-47.15309896426356,-0.0226541944951269,49.44735539153149,44.48285051461578,13.616236109517658,72.27
1213,2024,123.9899,25.48059999999993,8.71,45.95059999999993,-44.78,162.48837569745817,18.414750017667984,1.375380332280694,54.33574513055949,52.89662591044938,13.58740345860118,9.5
1213,2025,-30.0524,-6.02,-0.85,-7.05,-16.18,2.208809736331307,-17.15678960965535,-0.9659967737589316,48.379021888474426,49.786623205679646,13.570094556851735,16.63
1215,2020,15.866,8.92,6.18,18.92,8.56,-27.077207047246173,-54.49925554389971,0.2336469932456336,54.27682539202868,66.28128747310082,16.78829907503718,55.32
1215,2021,17.4349,6.46,5.06,15.16,6.41,-25.62346784352017,-46.55209001861784,0.3234562615438237,52.9307443996074,60.43109057045962,16.958691330394377,62.93
1215,2022,10.9607,6.73,5.28,17.15,6.92,-2.6084255845031783,-40.66689176476046,0.1853817063063966,52.07948657841362,58.18660205939099,17.088637608225586,64.05
1215,2023,27.1391,9.01,7.7,22.9,10.04,-12.379695407532347,-24.54918092645908,0.4593243316993722,51.88365377523006,51.57657969853015,17.124950664109562,62.65
1215,2024,-1.09,7.38,6.55,17.76,8.2,9.832988361217746,-25.5114323197905,0.0616777782891557,47.04857405186316,18.478782495910814,17.19867315277909,62.23
1215,2025,51.6107,10.74,10.39,25.62,13.2,4.9330593477780456,12.978623413466542,1.1930701582967895,58.78504347835784,35.837921290024354,17.277011568753753,59.56
1216,2020,-5.7572,6.73,3.79,17.37,6.66,0.8606018993030712,-28.39689462126132,-0.131172629039749,48.6208039026519,66.59295414668156,20.020751909055303,63.54
1216,2021,5.7124,6.04,3.5,15.93,6.0,1.7155091877595092,-24.350210839957512,0.1251995095293571,55.97479881500093,52.91271130542096,20.05781092161461,64.79
1216,2022,1.1118,5.35,3.02,14.22,5.53,-0.6795339915786738,-23.53829657810357,0.0013793854706247,52.70585745004369,71.27850789196157,20.12797090058733,65.14
1216,2023,16.8176,5.43,3.23,15.64,4.93,-3.4865344671873006,-10.779643891827233,0.2947090554226269,55.478153617031175,65.10664860680522,20.316619007880995,70.68
